,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
2732,2016,1,2,70,198,35.35353535353536
2733,2016,1,2,70,224,31.25
2734,2016,1,2,71,200,35.5
2735,2016,1,2,50,202,24.752475247524753
2736,2016,1,2,75,203,36.94581280788177
2737,2016,2,2,46,188,24.46808510638298
2738,2016,2,2,44,185,23.783783783783782
2739,2016,2,2,31,171,18.128654970760234
2740,2016,2,2,34,166,20.481927710843372
2741,2016,3,2,17,219,7.762557077625571
2742,2016,3,2,18,198,9.090909090909092
2743,2016,3,2,7,184,3.8043478260869565
2744,2016,3,2,3,147,2.0408163265306123
2745,2016,4,2,4,109,3.669724770642202
2746,2016,4,2,2,85,2.3529411764705883
2747,2016,4,2,0,92,0.0
2748,2016,4,2,1,70,1.4285714285714286
2749,2016,4,2,2,58,3.4482758620689653
2750,2016,5,2,0,55,0.0
2751,2016,5,2,1,37,2.7027027027027026
2752,2016,5,2,0,61,0.0
2753,2016,5,2,1,57,1.7543859649122806
2754,2016,6,2,1,40,2.5
2755,2016,6,2,2,55,3.6363636363636362
2756,2016,6,2,0,33,0.0
2757,2016,6,2,0,20,0.0
2758,2016,7,2,0,21,0.0
3234,2016,7,2,0,4,0.0
3235,2016,7,2,0,3,0.0
3236,2016,7,2,0,3,0.0
3237,2016,7,2,0,2,0.0
3238,2016,8,2,0,3,0.0
3239,2016,8,2,0,4,0.0
3240,2016,8,2,0,2,0.0
3241,2016,8,2,0,2,0.0
3242,2016,9,2,0,2,0.0
3243,2016,9,2,0,3,0.0
3244,2016,9,2,0,8,0.0
3245,2016,9,2,0,9,0.0
3246,2016,10,2,0,11,0.0
3247,2016,10,2,0,14,0.0
3248,2016,10,2,5,22,22.727272727272727
3249,2016,10,2,5,26,19.23076923076923
3250,2016,10,2,3,29,10.344827586206897
3251,2016,11,2,8,29,27.586206896551722
3252,2016,11,2,2,32,6.25
3253,2016,11,2,11,48,22.916666666666668
3254,2016,11,2,14,54,25.925925925925927
3255,2016,12,2,21,55,38.18181818181818
3256,2016,12,2,17,72,23.61111111111111
3257,2016,12,2,33,61,54.09836065573771
3258,2016,12,2,32,80,40.0
