,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
2785,2016,1,3,131,488,26.84426229508197
2786,2016,1,3,106,479,22.129436325678498
2787,2016,1,3,90,401,22.443890274314214
2788,2016,1,3,78,361,21.606648199445985
2789,2016,1,3,61,325,18.76923076923077
2790,2016,2,3,29,251,11.55378486055777
2791,2016,2,3,32,266,12.030075187969924
2792,2016,2,3,30,300,10.0
2793,2016,2,3,30,332,9.036144578313253
2794,2016,3,3,35,343,10.204081632653061
2795,2016,3,3,32,357,8.96358543417367
2796,2016,3,3,38,387,9.819121447028424
2797,2016,3,3,20,325,6.153846153846154
2798,2016,4,3,22,250,8.8
2799,2016,4,3,7,231,3.0303030303030303
2800,2016,4,3,5,190,2.6315789473684212
2801,2016,4,3,5,207,2.4154589371980677
2802,2016,4,3,4,176,2.272727272727273
2803,2016,5,3,3,144,2.0833333333333335
2804,2016,5,3,2,126,1.5873015873015872
2805,2016,5,3,4,111,3.6036036036036037
2806,2016,5,3,1,69,1.4492753623188406
2807,2016,6,3,4,54,7.407407407407407
2808,2016,6,3,2,51,3.9215686274509802
2809,2016,6,3,1,62,1.6129032258064515
2810,2016,6,3,3,45,6.666666666666667
2811,2016,7,3,2,33,6.0606060606060606
3286,2016,7,3,1,47,2.127659574468085
3287,2016,7,3,1,41,2.4390243902439024
3288,2016,7,3,0,29,0.0
3289,2016,7,3,1,35,2.857142857142857
3290,2016,8,3,2,20,10.0
3291,2016,8,3,1,21,4.761904761904762
3292,2016,8,3,1,32,3.125
3293,2016,8,3,0,41,0.0
3294,2016,9,3,1,33,3.0303030303030303
3295,2016,9,3,0,37,0.0
3296,2016,9,3,3,48,6.25
3297,2016,9,3,0,47,0.0
3298,2016,10,3,6,92,6.521739130434782
3299,2016,10,3,2,95,2.1052631578947367
3300,2016,10,3,5,152,3.289473684210526
3301,2016,10,3,4,159,2.5157232704402515
3302,2016,10,3,13,185,7.027027027027027
3303,2016,11,3,4,143,2.797202797202797
3304,2016,11,3,13,197,6.598984771573604
3305,2016,11,3,24,211,11.374407582938389
3306,2016,11,3,32,228,14.035087719298245
3307,2016,12,3,42,264,15.909090909090908
3308,2016,12,3,43,285,15.087719298245615
3309,2016,12,3,57,290,19.655172413793103
3310,2016,12,3,56,320,17.5
3311,2016,12,3,77,363,21.21212121212121
3312,2017,1,3,70,348,20.114942528735632
3313,2017,1,3,40,258,15.503875968992247
3314,2017,1,3,37,268,13.805970149253731
3315,2017,1,3,34,326,10.429447852760736
3316,2017,2,3,31,286,10.839160839160838
3317,2017,2,3,24,323,7.430340557275541
3318,2017,2,3,20,302,6.622516556291391
3319,2017,2,3,17,288,5.902777777777778
3320,2017,3,3,22,272,8.088235294117647
3321,2017,3,3,10,265,3.7735849056603774
3322,2017,3,3,10,226,4.424778761061947
