,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
2944,2016,1,6,296,791,37.420986093552465
2945,2016,1,6,233,629,37.04292527821939
2946,2016,1,6,234,618,37.86407766990291
2947,2016,1,6,245,681,35.97650513950074
2948,2016,1,6,245,732,33.46994535519126
2949,2016,2,6,210,701,29.957203994293867
2950,2016,2,6,173,598,28.929765886287626
2951,2016,2,6,177,625,28.32
2952,2016,2,6,101,593,17.032040472175378
2953,2016,3,6,93,538,17.286245353159853
2954,2016,3,6,68,495,13.737373737373737
2955,2016,3,6,41,425,9.647058823529411
2956,2016,3,6,30,394,7.614213197969543
2957,2016,4,6,25,334,7.485029940119761
2958,2016,4,6,26,350,7.428571428571429
2959,2016,4,6,11,270,4.074074074074074
2960,2016,4,6,12,264,4.545454545454546
2961,2016,4,6,9,261,3.4482758620689653
2962,2016,5,6,5,231,2.1645021645021645
2963,2016,5,6,5,191,2.6178010471204187
2964,2016,5,6,8,163,4.9079754601226995
2965,2016,5,6,5,173,2.8901734104046244
2966,2016,6,6,7,181,3.867403314917127
2967,2016,6,6,0,116,0.0
2968,2016,6,6,2,126,1.5873015873015872
2969,2016,6,6,3,100,3.0
2970,2016,7,6,2,59,3.389830508474576
3442,2016,7,6,1,63,1.5873015873015872
3443,2016,7,6,4,79,5.063291139240507
3444,2016,7,6,2,56,3.5714285714285716
3445,2016,7,6,2,40,5.0
3446,2016,8,6,1,49,2.0408163265306123
3447,2016,8,6,2,52,3.8461538461538463
3448,2016,8,6,1,48,2.0833333333333335
3449,2016,8,6,4,63,6.349206349206349
3450,2016,9,6,3,99,3.0303030303030303
3451,2016,9,6,2,117,1.7094017094017093
3452,2016,9,6,2,136,1.4705882352941178
3453,2016,9,6,1,131,0.7633587786259542
3454,2016,10,6,8,173,4.624277456647399
3455,2016,10,6,13,151,8.609271523178808
3456,2016,10,6,21,237,8.860759493670885
3457,2016,10,6,22,228,9.649122807017545
3458,2016,10,6,33,238,13.865546218487395
3459,2016,11,6,36,260,13.846153846153847
3460,2016,11,6,48,342,14.035087719298245
3461,2016,11,6,84,410,20.48780487804878
3462,2016,11,6,109,443,24.604966139954854
3463,2016,12,6,112,447,25.05592841163311
3464,2016,12,6,124,458,27.074235807860262
3465,2016,12,6,210,632,33.22784810126582
3466,2016,12,6,198,668,29.64071856287425
3467,2016,12,6,241,819,29.426129426129425
3468,2017,1,6,236,763,30.9305373525557
3469,2017,1,6,174,698,24.92836676217765
3470,2017,1,6,192,686,27.988338192419825
3471,2017,1,6,194,764,25.392670157068064
3472,2017,2,6,174,806,21.588089330024815
3473,2017,2,6,126,810,15.555555555555555
3474,2017,2,6,100,679,14.727540500736376
3475,2017,2,6,106,603,17.5787728026534
3476,2017,3,6,85,581,14.629948364888124
3477,2017,3,6,45,575,7.826086956521739
3478,2017,3,6,40,567,7.054673721340388
3479,2017,3,6,27,465,5.806451612903226
3480,2017,4,6,30,344,8.720930232558139
3481,2017,4,6,23,352,6.534090909090909
3482,2017,4,6,8,294,2.7210884353741496
3483,2017,4,6,13,249,5.220883534136546
3484,2017,4,6,8,205,3.902439024390244
3485,2017,5,6,8,211,3.7914691943127963
3486,2017,5,6,13,180,7.222222222222222
3487,2017,5,6,5,219,2.2831050228310503
3488,2017,5,6,6,191,3.141361256544503
3489,2017,6,6,2,118,1.694915254237288
3490,2017,6,6,3,117,2.5641025641025643
3491,2017,6,6,3,86,3.488372093023256
3492,2017,6,6,1,85,1.1764705882352942
3493,2017,7,6,5,63,7.936507936507937
3959,2017,7,6,2,74,2.7027027027027026
3960,2017,7,6,3,61,4.918032786885246
3961,2017,7,6,3,74,4.054054054054054
3962,2017,7,6,2,59,3.389830508474576
3963,2017,8,6,5,97,5.154639175257732
3964,2017,8,6,5,97,5.154639175257732
3965,2017,8,6,7,152,4.605263157894737
3966,2017,8,6,5,145,3.4482758620689653
3967,2017,9,6,15,157,9.554140127388536
3968,2017,9,6,11,187,5.882352941176471
3969,2017,9,6,11,192,5.729166666666667
3970,2017,9,6,14,216,6.481481481481482
3971,2017,9,6,38,242,15.702479338842975
3972,2017,10,6,38,223,17.04035874439462
3973,2017,10,6,47,292,16.095890410958905
3974,2017,10,6,60,341,17.59530791788856
3975,2017,10,6,75,403,18.610421836228287
3976,2017,11,6,105,482,21.78423236514523
3977,2017,11,6,137,506,27.07509881422925
3978,2017,11,6,232,757,30.647291941875825
3979,2017,11,6,260,765,33.98692810457516
3980,2017,12,6,198,617,32.090761750405186
3981,2017,12,6,204,735,27.755102040816325
3982,2017,12,6,246,831,29.6028880866426
3983,2017,12,6,204,930,21.93548387096774
3984,2017,12,6,271,1110,24.414414414414413
3985,2018,1,6,190,911,20.856201975850713
3986,2018,1,6,140,739,18.944519621109606
3987,2018,1,6,102,584,17.465753424657535
3988,2018,1,6,92,693,13.275613275613276
3989,2018,2,6,114,769,14.82444733420026
3990,2018,2,6,77,627,12.280701754385966
3991,2018,2,6,78,614,12.703583061889251
