,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
2891,2016,1,5,128,441,29.024943310657598
2892,2016,1,5,94,440,21.363636363636363
2893,2016,1,5,103,418,24.641148325358852
2894,2016,1,5,136,479,28.39248434237996
2895,2016,1,5,151,561,26.916221033868094
2896,2016,2,5,207,640,32.34375
2897,2016,2,5,182,683,26.64714494875549
2898,2016,2,5,205,752,27.26063829787234
2899,2016,2,5,182,682,26.686217008797655
2900,2016,3,5,170,749,22.696929238985312
2901,2016,3,5,124,707,17.53889674681754
2902,2016,3,5,111,640,17.34375
2903,2016,3,5,77,544,14.154411764705882
2904,2016,4,5,62,426,14.553990610328638
2905,2016,4,5,30,285,10.526315789473685
2906,2016,4,5,27,298,9.060402684563758
2907,2016,4,5,32,259,12.355212355212355
2908,2016,4,5,13,235,5.531914893617022
2909,2016,5,5,14,204,6.862745098039215
2910,2016,5,5,9,210,4.285714285714286
2911,2016,5,5,11,154,7.142857142857143
2912,2016,5,5,5,129,3.875968992248062
2913,2016,6,5,6,125,4.8
2914,2016,6,5,4,96,4.166666666666667
2915,2016,6,5,3,76,3.9473684210526314
2916,2016,6,5,2,78,2.5641025641025643
2917,2016,7,5,0,51,0.0
3390,2016,7,5,1,72,1.3888888888888888
3391,2016,7,5,0,59,0.0
3392,2016,7,5,1,63,1.5873015873015872
3393,2016,7,5,0,53,0.0
3394,2016,8,5,2,61,3.278688524590164
3395,2016,8,5,1,49,2.0408163265306123
3396,2016,8,5,3,44,6.818181818181818
3397,2016,8,5,1,60,1.6666666666666667
3398,2016,9,5,1,78,1.2820512820512822
3399,2016,9,5,3,96,3.125
3400,2016,9,5,4,112,3.5714285714285716
3401,2016,9,5,5,167,2.9940119760479043
3402,2016,10,5,9,112,8.035714285714286
3403,2016,10,5,6,141,4.25531914893617
3404,2016,10,5,2,170,1.1764705882352942
3405,2016,10,5,9,176,5.113636363636363
3406,2016,10,5,8,198,4.040404040404041
3407,2016,11,5,14,210,6.666666666666667
3408,2016,11,5,31,250,12.4
3409,2016,11,5,36,324,11.11111111111111
3410,2016,11,5,33,296,11.14864864864865
3411,2016,12,5,68,378,17.98941798941799
3412,2016,12,5,91,364,25.0
3413,2016,12,5,108,404,26.73267326732673
3414,2016,12,5,115,406,28.32512315270936
3415,2016,12,5,194,533,36.39774859287054
3416,2017,1,5,192,572,33.56643356643357
3417,2017,1,5,177,540,32.77777777777778
3418,2017,1,5,190,549,34.60837887067395
3419,2017,1,5,225,724,31.07734806629834
3420,2017,2,5,182,641,28.393135725429016
3421,2017,2,5,200,688,29.069767441860463
3422,2017,2,5,186,783,23.754789272030653
3423,2017,2,5,120,722,16.62049861495845
3424,2017,3,5,92,550,16.727272727272727
3425,2017,3,5,73,517,14.119922630560929
3426,2017,3,5,54,429,12.587412587412587
3427,2017,3,5,50,399,12.531328320802006
3428,2017,4,5,38,426,8.92018779342723
3429,2017,4,5,22,313,7.0287539936102235
3430,2017,4,5,18,291,6.185567010309279
3431,2017,4,5,15,232,6.4655172413793105
3432,2017,4,5,9,173,5.202312138728324
3433,2017,5,5,8,158,5.063291139240507
3434,2017,5,5,7,183,3.8251366120218577
3435,2017,5,5,6,136,4.411764705882353
3436,2017,5,5,6,118,5.084745762711864
3437,2017,6,5,2,106,1.8867924528301887
3438,2017,6,5,4,91,4.395604395604396
3439,2017,6,5,1,86,1.1627906976744187
3440,2017,6,5,1,68,1.4705882352941178
3441,2017,7,5,0,47,0.0
3907,2017,7,5,1,50,2.0
3908,2017,7,5,2,47,4.25531914893617
3909,2017,7,5,0,33,0.0
3910,2017,7,5,0,33,0.0
3911,2017,8,5,0,40,0.0
3912,2017,8,5,1,45,2.2222222222222223
3913,2017,8,5,1,41,2.4390243902439024
3914,2017,8,5,0,58,0.0
3915,2017,9,5,2,72,2.7777777777777777
3916,2017,9,5,3,94,3.1914893617021276
3917,2017,9,5,4,145,2.7586206896551726
3918,2017,9,5,1,123,0.8130081300813008
