,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
3103,2016,1,9,28,264,10.606060606060606
3104,2016,1,9,33,278,11.870503597122303
3105,2016,1,9,37,300,12.333333333333334
3106,2016,1,9,40,333,12.012012012012011
3107,2016,1,9,32,350,9.142857142857142
3108,2016,2,9,31,288,10.76388888888889
3109,2016,2,9,52,397,13.09823677581864
3110,2016,2,9,60,422,14.218009478672986
3111,2016,2,9,37,371,9.973045822102426
3112,2016,3,9,31,318,9.748427672955975
3113,2016,3,9,23,300,7.666666666666667
3114,2016,3,9,30,269,11.152416356877323
3115,2016,3,9,10,238,4.201680672268908
3116,2016,4,9,6,244,2.459016393442623
3117,2016,4,9,10,200,5.0
3118,2016,4,9,3,185,1.6216216216216217
3119,2016,4,9,2,138,1.4492753623188406
3120,2016,4,9,4,126,3.1746031746031744
3121,2016,5,9,6,159,3.7735849056603774
3122,2016,5,9,7,159,4.40251572327044
3123,2016,5,9,4,113,3.5398230088495577
3124,2016,5,9,5,118,4.237288135593221
3125,2016,6,9,3,137,2.18978102189781
3126,2016,6,9,3,135,2.2222222222222223
3127,2016,6,9,3,107,2.803738317757009
3128,2016,6,9,3,121,2.479338842975207
3129,2016,7,9,3,58,5.172413793103448
3598,2016,7,9,4,87,4.597701149425287
3599,2016,7,9,4,80,5.0
3600,2016,7,9,1,69,1.4492753623188406
3601,2016,7,9,2,72,2.7777777777777777
3602,2016,8,9,7,71,9.859154929577464
3603,2016,8,9,1,75,1.3333333333333333
3604,2016,8,9,6,82,7.317073170731708
3605,2016,8,9,11,128,8.59375
3606,2016,9,9,24,136,17.647058823529413
3607,2016,9,9,10,136,7.352941176470588
3608,2016,9,9,5,140,3.5714285714285716
3609,2016,9,9,28,175,16.0
3610,2016,10,9,34,184,18.47826086956522
3611,2016,10,9,32,182,17.582417582417584
3612,2016,10,9,27,196,13.775510204081632
3613,2016,10,9,52,193,26.94300518134715
3614,2016,10,9,34,204,16.666666666666668
3615,2016,11,9,52,199,26.13065326633166
3616,2016,11,9,38,208,18.26923076923077
3617,2016,11,9,33,202,16.336633663366335
3618,2016,11,9,27,213,12.67605633802817
3619,2016,12,9,25,209,11.961722488038278
3620,2016,12,9,37,196,18.877551020408163
3621,2016,12,9,47,258,18.217054263565892
3622,2016,12,9,39,294,13.26530612244898
3623,2016,12,9,35,334,10.479041916167665
3624,2017,1,9,60,311,19.292604501607716
3625,2017,1,9,39,317,12.302839116719243
3626,2017,1,9,36,275,13.090909090909092
3627,2017,1,9,64,295,21.694915254237287
3628,2017,2,9,30,289,10.380622837370241
3629,2017,2,9,20,227,8.810572687224669
3630,2017,2,9,17,224,7.589285714285714
3631,2017,2,9,17,255,6.666666666666667
3632,2017,3,9,13,212,6.132075471698113
3633,2017,3,9,12,210,5.714285714285714
3634,2017,3,9,19,247,7.6923076923076925
3635,2017,3,9,13,189,6.878306878306878
3636,2017,4,9,6,171,3.508771929824561
3637,2017,4,9,12,194,6.185567010309279
3638,2017,4,9,11,141,7.801418439716312
3639,2017,4,9,4,99,4.040404040404041
3640,2017,4,9,1,120,0.8333333333333334
3641,2017,5,9,4,118,3.389830508474576
3642,2017,5,9,7,115,6.086956521739131
3643,2017,5,9,5,130,3.8461538461538463
3644,2017,5,9,5,106,4.716981132075472
3645,2017,6,9,7,77,9.090909090909092
3646,2017,6,9,10,108,9.25925925925926
3647,2017,6,9,10,87,11.494252873563218
3648,2017,6,9,10,77,12.987012987012987
3649,2017,7,9,5,55,9.090909090909092
4115,2017,7,9,10,73,13.698630136986301
4116,2017,7,9,8,81,9.876543209876543
4117,2017,7,9,11,59,18.64406779661017
4118,2017,7,9,8,72,11.11111111111111
4119,2017,8,9,9,83,10.843373493975903
4120,2017,8,9,6,51,11.764705882352942
4121,2017,8,9,7,76,9.210526315789474
4122,2017,8,9,6,77,7.792207792207792
4123,2017,9,9,4,84,4.761904761904762
4124,2017,9,9,23,100,23.0
4125,2017,9,9,10,88,11.363636363636363
4126,2017,9,9,6,93,6.451612903225806
4127,2017,9,9,9,134,6.7164179104477615
4128,2017,10,9,35,148,23.64864864864865
4129,2017,10,9,31,179,17.318435754189945
4130,2017,10,9,17,158,10.759493670886076
4131,2017,10,9,25,153,16.33986928104575
4132,2017,11,9,40,168,23.80952380952381
4133,2017,11,9,56,210,26.666666666666668
4134,2017,11,9,45,205,21.951219512195124
4135,2017,11,9,46,255,18.03921568627451
4136,2017,12,9,40,264,15.151515151515152
4137,2017,12,9,28,212,13.20754716981132
4138,2017,12,9,32,210,15.238095238095237
4139,2017,12,9,28,240,11.666666666666666
